method,fun_name,category,pkg
lifetable,sen_e0_mx_lt,opt_ok,LEdecomp
arriaga,arriaga,direct,LEdecomp
arriaga_sym,arriaga_sym,direct,LEdecomp
sen_arriaga,sen_arriaga,direct_sen,LEdecomp
sen_arriaga_sym,sen_arriaga_sym,direct_sen,LEdecomp
sen_arriaga_inst,sen_arriaga_instantaneous,opt_ok,LEdecomp
sen_arriaga_inst2,sen_arriaga_instantaneous2,opt_ok,LEdecomp
sen_arriaga_sym_inst,sen_arriaga_sym_instantaneous,opt_ok,LEdecomp
sen_arriaga_sym_inst2,sen_arriaga_sym_instantaneous2,opt_ok,LEdecomp
andreev,andreev,direct,LEdecomp
andreev_sym,andreev_sym,direct,LEdecomp
sen_andreev,sen_andreev,direct_sen,LEdecomp
sen_andreev_sym,sen_andreev_sym,direct_sen,LEdecomp
sen_andreev_inst,sen_andreev_instantaneous,opt_ok,LEdecomp
sen_andreev_inst2,sen_andreev_instantaneous2,opt_ok,LEdecomp
sen_andreev_sym_inst,sen_andreev_sym_instantaneous,opt_ok,LEdecomp
sen_andreev_sym_inst2,sen_andreev_sym_instantaneous2,opt_ok,LEdecomp
chandrasekaran_ii,chandrasekaran_II,direct,LEdecomp
sen_chandrasekaran_ii,sen_chandrasekaran_II,direct_sen,LEdecomp
sen_chandrasekaran_ii_inst,sen_chandrasekaran_II_instantaneous,opt_ok,LEdecomp
sen_chandrasekaran_ii_inst2,sen_chandrasekaran_II_instantaneous2,opt_ok,LEdecomp
chandrasekaran_iii,chandrasekaran_III,direct,LEdecomp
sen_chandrasekaran_iii,sen_chandrasekaran_III,direct_sen,LEdecomp
sen_chandrasekaran_iii_inst,sen_chandrasekaran_III_instantaneous,opt_ok,LEdecomp
sen_chandrasekaran_iii_inst2,sen_chandrasekaran_III_instantaneous2,opt_ok,LEdecomp
lopez_ruzicka,lopez_ruzicka,direct,LEdecomp
lopez_ruzicka_sym,lopez_ruzicka_sym,direct,LEdecomp
sen_lopez_ruzicka,sen_lopez_ruzicka,direct_sen,LEdecomp
sen_lopez_ruzicka_sym,sen_lopez_ruzicka_sym,direct_sen,LEdecomp
sen_lopez_ruzicka_inst,sen_lopez_ruzicka_instantaneous,opt_ok,LEdecomp
sen_lopez_ruzicka_inst2,sen_lopez_ruzicka_instantaneous2,opt_ok,LEdecomp
sen_lopez_ruzicka_sym_inst,sen_lopez_ruzicka_sym_instantaneous,opt_ok,LEdecomp
sen_lopez_ruzicka_sym_inst2,sen_lopez_ruzicka_sym_instantaneous2,opt_ok,LEdecomp
numerical,sen_num,opt_ok,LEdecomp
stepwise,stepwise_replacement,general,DemoDecomp
horiuchi,horiuchi,general,DemoDecomp
